City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Half Moon Bay,US,81.81,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
15,Elizabeth City,US,77.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
22,Abnub,EG,83.3,clear sky,27.2696,31.1511,Romany Adly Gad
26,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
31,Palitana,IN,80.58,few clouds,21.5167,71.8333,Sanderao Bhavan
35,General Roca,AR,82.8,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
40,Hobyo,SO,78.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
42,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Georgetown,MY,79.9,light rain,5.4112,100.3354,Cititel Penang
54,San Policarpo,PH,80.04,broken clouds,12.1791,125.5072,Agapita M. Nicart
55,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
63,West Plains,US,85.33,clear sky,36.7281,-91.8524,West Plains Motel
66,Menongue,AO,76.32,scattered clouds,-14.6585,17.691,Ritz Lauca
68,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
72,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Tecoanapa,MX,85.01,clear sky,16.5167,-98.75,Hotel Manglares
82,Victoria,HK,81.32,light rain,22.2855,114.1577,Mini Hotel Central
86,Dingle,PH,76.57,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
89,Atuona,PF,78.28,scattered clouds,-9.8,-139.0333,Villa Enata
91,Bud,US,84.24,broken clouds,39.447,-86.1758,Ted McQuinn Trust
96,Kavieng,PG,81.88,broken clouds,-2.5744,150.7967,Nusa Island Retreat
105,Rosarito,MX,87.64,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
106,Mecca,SA,87.51,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
108,Luwuk,ID,78.48,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
113,Hithadhoo,MV,82.9,overcast clouds,-0.6,73.0833,Scoop Guest House
115,Port Blair,IN,80.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
118,Gizo,SB,81.01,broken clouds,-8.103,156.8419,Imagination Island
120,Tukrah,LY,76.89,clear sky,32.5341,20.5791,Lagrota restaurant
132,Maroua,CM,79.16,overcast clouds,10.591,14.3159,Maroua Palace
134,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
135,San Juan,AR,77.92,clear sky,-31.5375,-68.5364,Hotel Provincial
136,Evanston,US,84.07,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
142,San Pedro De Macoris,DO,89.38,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
147,Sao Filipe,CV,81.39,clear sky,14.8961,-24.4956,Hotel Xaguate
