City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,15.94,96,100,5.41,light snow
1,Redondela,ES,42.2834,-8.6096,64.62,71,0,2.3,clear sky
2,Dongsheng,CN,39.8161,109.9776,38.43,40,0,6.78,clear sky
3,Salalah,OM,17.0151,54.0924,77.58,85,94,3.24,overcast clouds
4,Hilo,US,19.7297,-155.09,81.39,89,70,8.01,moderate rain
5,Souillac,MU,-20.5167,57.5167,72.36,100,75,9.22,moderate rain
6,Albany,US,42.6001,-73.9662,62.1,87,87,1.99,overcast clouds
7,Vestmannaeyjar,IS,63.4427,-20.2734,42.57,72,39,12.08,scattered clouds
8,Cape Town,ZA,-33.9258,18.4232,64.11,94,0,2.3,clear sky
9,Mataura,NZ,-46.1927,168.8643,47.48,98,100,5.75,light rain
10,Punta Arenas,CL,-53.15,-70.9167,48.31,46,20,33.38,few clouds
11,Avarua,CK,-21.2078,-159.775,78.85,73,100,9.22,overcast clouds
12,Mestia,GE,43.0458,42.7278,43.09,78,71,3.89,broken clouds
13,Obera,AR,-27.4871,-55.1199,65.19,99,73,2.53,broken clouds
14,Atuona,PF,-9.8,-139.0333,78.39,76,27,19.48,scattered clouds
15,Dikson,RU,73.5069,80.5464,29.55,65,100,20.4,overcast clouds
16,Walvis Bay,NA,-22.9575,14.5053,59.09,77,0,4.61,clear sky
17,Babai,IN,22.7,77.9333,70.93,68,21,1.88,few clouds
18,General Bravo,MX,25.8,-99.1667,94.35,37,5,19.24,clear sky
19,Provideniya,RU,64.3833,-173.3,33.91,80,90,6.71,overcast clouds
20,Selma,US,36.5708,-119.6121,79.02,40,0,7.2,clear sky
21,Saint George,US,37.1041,-113.5841,75.67,28,1,1.99,clear sky
22,Pestravka,RU,52.405,49.9583,43.9,62,63,3.15,broken clouds
23,Hobart,AU,-42.8794,147.3294,54.27,49,20,1.01,few clouds
24,Paamiut,GL,61.994,-49.6678,37.04,60,100,5.99,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,74.82,79,98,17.83,overcast clouds
26,Kapaa,US,22.0752,-159.319,84.18,73,19,5.99,light rain
27,Mount Gambier,AU,-37.8333,140.7667,49.91,76,90,4.61,overcast clouds
28,Tiksi,RU,71.6872,128.8694,29.21,97,100,8.1,light snow
29,Tomaszow Lubelski,PL,50.4477,23.4162,36.81,50,43,6.55,scattered clouds
30,Busselton,AU,-33.65,115.3333,60.04,82,98,17.54,overcast clouds
31,Cervo,ES,43.6702,-7.4101,60.96,85,11,18.63,few clouds
32,Hay River,CA,60.8156,-115.7999,42.78,56,75,14.97,broken clouds
33,Ilulissat,GL,69.2167,-51.1,28.18,84,100,3.31,overcast clouds
34,Ribeira Grande,PT,38.5167,-28.7,69.48,92,100,25.68,overcast clouds
35,Upington,ZA,-28.4478,21.2561,59.38,12,0,4.61,clear sky
36,Ternate,ID,0.8,127.4,83.39,76,94,5.44,overcast clouds
37,Alta Floresta,BR,-9.8756,-56.0861,79.74,63,92,1.21,overcast clouds
38,Airai,TL,-8.9266,125.4092,74.25,45,97,1.99,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,46.06,61,75,25.32,light intensity drizzle
40,Agulu,NG,6.11,7.0724,73.45,96,95,2.84,overcast clouds
41,Nikolskoye,RU,59.7035,30.7861,50.4,70,12,8.59,light rain
42,Torit,SS,4.4133,32.5678,73.89,77,86,3.49,overcast clouds
43,Saint-Augustin,CA,51.226,-58.6502,50.11,69,39,2.89,scattered clouds
44,Muncar,ID,-8.4333,114.3333,79.41,68,83,3.83,broken clouds
45,Bethel,US,41.3712,-73.414,62.92,90,100,1.99,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,63.9,62,98,7.49,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,57.27,78,85,3.29,overcast clouds
48,Jamestown,US,42.097,-79.2353,65.71,84,1,3.0,clear sky
49,Kolosovka,RU,56.4678,73.611,27.03,71,70,5.3,broken clouds
50,Flin Flon,CA,54.7682,-101.865,56.23,53,100,7.94,overcast clouds
51,Kruisfontein,ZA,-34.0033,24.7314,52.09,74,37,6.04,scattered clouds
52,Lompoc,US,34.6391,-120.4579,80.78,70,0,18.01,clear sky
53,Hudiksvall,SE,61.729,17.1036,50.13,87,100,4.38,overcast clouds
54,Sao Filipe,CV,14.8961,-24.4956,80.28,73,0,3.51,clear sky
55,Alofi,NU,-19.0595,-169.9187,77.34,78,100,4.07,overcast clouds
56,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,64,42,10.36,scattered clouds
57,Sorland,NO,67.667,12.6934,49.64,82,97,10.76,light rain
58,Moron,AR,-34.6534,-58.6198,64.02,88,100,5.01,light rain
59,Arraial Do Cabo,BR,-22.9661,-42.0278,67.73,85,100,21.79,light rain
60,Bluff,NZ,-46.6,168.3333,47.8,90,100,9.31,overcast clouds
61,New Norfolk,AU,-42.7826,147.0587,54.66,51,85,5.01,overcast clouds
62,Sligo,IE,54.2697,-8.4694,43.68,89,99,3.65,overcast clouds
63,Cooma,AU,-36.2333,149.1333,49.93,39,94,4.83,overcast clouds
64,Saint-Philippe,RE,-21.3585,55.7679,71.15,88,6,5.32,clear sky
65,Grindavik,IS,63.8424,-22.4338,37.87,93,75,3.44,broken clouds
66,Klaksvik,FO,62.2266,-6.589,43.72,82,98,12.15,overcast clouds
67,Quatre Cocos,MU,-20.2078,57.7625,72.09,92,98,8.05,light rain
68,Cedar City,US,37.6775,-113.0619,56.39,33,0,6.71,clear sky
69,Castro,BR,-24.7911,-50.0119,56.44,97,99,11.95,overcast clouds
70,Obidos,BR,-1.9175,-55.5181,85.57,52,80,3.04,broken clouds
71,Mahebourg,MU,-20.4081,57.7,72.25,91,96,8.9,light rain
72,Qaanaaq,GL,77.484,-69.3632,29.79,86,100,8.39,overcast clouds
73,Prainha,BR,-1.8,-53.48,84.56,55,75,5.39,broken clouds
74,Kralendijk,BQ,12.15,-68.2667,82.71,76,97,13.62,overcast clouds
75,Mitsamiouli,KM,-11.3847,43.2844,75.52,82,27,5.01,scattered clouds
76,Amberley,US,39.2048,-84.428,76.39,74,61,1.01,broken clouds
77,Kilindoni,TZ,-7.9139,39.6668,77.29,81,76,12.64,broken clouds
78,Marsala,IT,37.7966,12.4352,59.54,55,2,19.95,clear sky
79,Aksu,CN,41.1231,80.2644,48.38,31,100,1.16,overcast clouds
80,Hommersak,NO,58.9317,5.8511,52.41,85,75,23.02,broken clouds
81,Port Alfred,ZA,-33.5906,26.891,58.3,74,23,20.71,few clouds
82,Ercsi,HU,47.2519,18.8962,52.05,62,100,2.57,overcast clouds
83,Lock Haven,US,41.137,-77.4469,66.97,94,100,2.53,overcast clouds
84,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,9.22,clear sky
85,Thompson,CA,55.7435,-97.8558,49.51,57,87,5.41,overcast clouds
86,Pevek,RU,69.7008,170.3133,23.61,92,100,5.19,light snow
87,Kodiak,US,57.79,-152.4072,45.45,69,100,9.48,overcast clouds
88,Whittlesea,ZA,-32.1759,26.8244,46.78,78,3,2.51,clear sky
89,Torbay,CA,47.6666,-52.7314,43.57,82,37,4.0,scattered clouds
90,Cidreira,BR,-30.1811,-50.2056,64.99,80,99,20.2,overcast clouds
91,Kaeo,NZ,-35.1,173.7833,67.32,60,47,9.64,scattered clouds
92,Barela,IN,23.1,80.05,68.7,71,1,0.22,clear sky
93,Thinadhoo,MV,0.5333,72.9333,83.07,67,98,15.23,overcast clouds
